,Reviews,Remarks
2166,"RT @waseemabbasi04: वैट के खेल में कैसे लगा तेल वाला कर्फ्यू ... देखिए सिर्फ दिल्ली आजतक पर 
@ShamsTahirKhan @catchsanjeevc @filmashish @Ku…",neutral
2167,"RT @AajGothi: जहां हुई थी 11 मौत, वो घर देखिए | क्रांतिकारी बहुत क्रांतिकारी https://t.co/iLDnDJWx2R",neutral
2168,RT @AajGothi: दिल्लीः कोर्ट ने आशीष पांडे की गिरफ्तारी के लिए पुलिस को बुलाया https://t.co/gZozcfRhw4,neutral
2169,RT @AajGothi: दिल्लीः Ashish Pandey को पुलिस ने हिरासत में लिया https://t.co/EoAyBTovP0,neutral
2170,RT @AajGothi: स्पेशल रिपोर्ट Anjana Om Kashyap के साथ :'पिस्टल पाण्डे' की दोस्त पामेला रूज़ हुई फरार https://t.co/YpcckYHCvl,neutral
2171,"RT @AajGothi: वारदात में देखिये: पांडेय जी की ""वो"" 3 दोस्त https://t.co/KvcTH2Lsof",neutral
2172,"RT @AajGothi: Ashish Pandey गिरफ्तार, इज़राइली पिस्टल और BMW जब्त https://t.co/7t53Dp7Vci",neutral
2173,"Ashish Pandey गिरफ्तार, इज़राइली पिस्टल और BMW जब्त https://t.co/7t53Dp7Vci",neutral
2174,दिल्लीः कोर्ट ने आशीष पांडे की गिरफ्तारी के लिए पुलिस को बुलाया https://t.co/gZozcfRhw4,neutral
2175,दिल्लीः Ashish Pandey को पुलिस ने हिरासत में लिया https://t.co/EoAyBTovP0,neutral
2176,स्पेशल रिपोर्ट Anjana Om Kashyap के साथ :'पिस्टल पाण्डे' की दोस्त पामेला रूज़ हुई फरार https://t.co/YpcckYHCvl,neutral
2177,"वारदात में देखिये: पांडेय जी की ""वो"" 3 दोस्त https://t.co/KvcTH2Lsof",neutral
2178,"जहां हुई थी 11 मौत, वो घर देखिए | क्रांतिकारी बहुत क्रांतिकारी https://t.co/iLDnDJWx2R",neutral
2179,"बुराड़ी कांड: इसी कमरे में मिली थीं 11 लाशें, कैमरे पर पहली बार अंदर का मंजर | News Tak https://t.co/rsntrPsxdA",neutral
2180,"दिल्ली पिस्टल कांड का आरोपी आशीष पांडे फरार, परिवार भी लापता https://t.co/cCXGBVK7sb",neutral
2181,"फोन लोकेशन से 'पिस्टल पांडे' की यूपी में तलाश, पहले भी कर चुका है ये कांड https://t.co/rDLXQ0vrNU",neutral
2182,दिल्ली के फाइव स्टार होटल में पिस्टल कांड | वारदात https://t.co/xSu3VfvhWu,neutral
2183,दिल्ली 5 स्टार होटल पिस्टल काण्ड: BSP के पूर्व सांसद के बेटे Ashish Pandey का नाम सामने आया https://t.co/HxYbAFrKRr,neutral
2184,"RT @aajtak: क्या हरियाणा की इस निर्माणाधीन मस्जिद में एक आतंकी का पैसा लगा है?
(@AajGothi)
https://t.co/gope2vS8TK",neutral
2185,"RT @aajtak: BSP के पूर्व सांसद का बेटा है सरेआम पिस्टल लहराने वाला शख्स, देखिए इस ख़बर से जुड़ी सारी अपडेट्स
#एकऔरएकग्यारह @nishantchat @Aa…",neutral
2186,RT @aajtak: दिल्ली के पांच सितारा होटल के बाहर पूर्व बसपा सांसद के बेटे ने एक कपल को पिस्तौल दिखाकर दी धमकी. पुलिस ने मामले में आर्म्स एक्ट…,neutral
2187,RT @AajGothi: Chirag Live:एक बेटा कैसे अपने ही मां-बाप का क़त्ल कर सकता है? सुने कलयुगी बेटे की कहानी...|Crime Tak https://t.co/faa5K5UxTY,neutral
2188,Chirag Live:एक बेटा कैसे अपने ही मां-बाप का क़त्ल कर सकता है? सुने कलयुगी बेटे की कहानी...|Crime Tak https://t.co/faa5K5UxTY,neutral
2189,RT @CrimeTakBrand: Chirag Live:एक बेटा कैसे अपने ही मां-बाप का क़त्ल कर सकता है? सुने कलयुगी बेटे की कहानी...|Crime Tak @AajGothi @DCPSEast…,neutral
2190,जब बेटे ने अपने ही परिवार का किया खात्मा...#LIVE https://t.co/GGqXt4J1r6,neutral
2191,RT @aajtak: गाजियाबाद के इंदिरापुरम इलाके में महिला गायनोकोलॉजिस्ट डॉ सरलानाथ का क्लीनिक पर अज्ञात बदमाशों ने किया कत्ल. मौका-ए-वारदात से…,neutral
2192,Chirag Live:एक बेटा कैसे अपने ही मां-बाप का क़त्ल कर सकता है? सुने कलयुगी बेटे की कहानी...|Crime Tak https://t.co/lYIViQvl0f,neutral
2193,कलयुगी बेटे ने किया दिल्ली में ट्रिपल मर्डर | वारदात https://t.co/IdOHNt6jmQ,neutral
2194,RT @DilliAajtaktv: दिल्ली में ट्रिपल मर्डर केस से सनसनी. दिल्ली आज तक उस घर में पहुंचा जहां पर सूरज अपने दोस्तों के साथ मौज मस्ती के लिए रु…,neutral
2195,"Delhi में अपराधी बेख़ौफ़, Vasant Kunj में एक ही परिवार के तीन लोगों की बेरहमी से हत्या https://t.co/oF1j5RlDq7",neutral
2196,"दिल्ली में एक परिवार, एक रात और तीन लाश! क्रांतिकारी बहुत क्रांतिकारी https://t.co/jVV5DzdPH4",neutral
2197,RT @DilliAajtaktv: दिल्ली के किशनगढ़ इलाके में एक ही परिवार के 3 लोगों की हत्या। इस घटना पर और जानकारी दे रहें है हमारे संवाददाता @AajGothi…,neutral
2198,RT @aajtak: दिल्ली सरकार में मंत्री कैलाश गहलोत के घर आयकर विभाग का छापा। आयकर विभाग ने  गहलोत के कुल 16 ठिकानों पर छापेमारी की. इस पर और…,neutral
2199,"ऑटो चालक की बेरहमी से हत्या, लोग बनाते रहे वीडियो | chirag Live https://t.co/qYUDQLIECr",neutral
2200,"RT @AajGothi: Chirag Gothi Live:कौन कहता है दिल्ली दिलवालों की है,देखें AUTODRIVER की कैसे बेरहमी से हत्या कर दी https://t.co/98oK3od5KW",neutral
2201,पेट्रोल के दाम में विकास| Dilli Tak https://t.co/Hqd8GUmbwG,neutral
2202,कनॉट प्लेस में बेदर्द दिल्ली का चेहरा देखने को मिला.... | Dilli Tak https://t.co/dYZPuripR1,neutral
2203,"Chirag Gothi Live:कौन कहता है दिल्ली दिलवालों की है,देखें AUTODRIVER की कैसे बेरहमी से हत्या कर दी https://t.co/98oK3od5KW",neutral
2204,RT @DilliAajtaktv: जगह-जगह कूड़े के ढेर लगे हुए हैं और लोगों का जीना मुहाल है। हालत ऐसी है कि पूरी गली ही कूड़े से पट गई है. देखिए @AajGoth…,neutral
2205,दिल्ली में टीचर का मर्डर...| Dilli Tak https://t.co/wrTTqYyZr1,neutral
2206,फिर बनेगा कूड़े का पहाड़..| Dilli Tak https://t.co/nVonSEAIYm,neutral
2207,मंत्री के घर के बाहर कूड़ा ही कूड़ा| Dilli Tak https://t.co/9eT9Zr7uXu,neutral
2208,RT @aajtak: दिल्ली के यमुना विहार इलाके में गंदगी से लोगों का जीना मुहाल हो गया है.  सफाई कर्मचारी 20 दिन से ज्यादा से हड़ताल पर हैं और इस…,neutral
2209,"RT @aajtak: #FarmersOnWarpath
किसान रैली को देखते हुए दिल्ली के अलग-अलग इलाकों में सुरक्षा के कड़े इंतज़ाम किये गए हैं। आज तक संवाददाता @an…",neutral
2210,"दिल्ली में सोती पुलिस, बेखौफ बदमाश! देखिए देश तक Sweta Singh के साथ https://t.co/NrOJM5fU7G",neutral
2211,दिल्ली में टीचर का मर्डर...| Dilli Tak https://t.co/5TSO8hkpcn,neutral
2212,Live:दिल्ली के जहांगीरपुरी इलाके में टीचर की दिन दहाड़े हत्या...Chirag Gothi|CrimeTak https://t.co/HQzgZsLnzo,neutral
2213,RT @aajtak: दिल्ली के जहांगीरपुरी इलाके में अंकित नाम के एक शख्स की हत्या कर दी गई. अंकित एक मुस्लिम लड़की से प्यार करता था. लड़के की  बहन…,neutral
2214,पकड़ा गया गुरू-घंटाल | Dilli Tak https://t.co/cKIfewWdgu,neutral
2215,"RT @itsparvezsagar: खुद को PM मोदी का आध्यात्मिक गुरु बताने वाला नर्तक अरेस्ट, PMO ने की थी शिकायत https://t.co/26O73gZtio     
-
@Aajtak @…",neutral
2216,"LIVE: SC का ऐतिहासिक फैसला, सबरीमाला मंदिर में महिलाओं की एंट्री को मंजूरी् https://t.co/Gdgu30xRbj",neutral
2217,"SC का ऐतिहासिक फैसला, सबरीमाला मंदिर में महिलाओं की एंट्री को मंजूरी्#LIVE https://t.co/P2pThVuXPb",neutral
2218,दिल्ली में गिरी 5 साल पुरानी इमारत!| Dilli Tak https://t.co/HGsFxjZOaE,neutral
2219,फिर उफान पर यमुना..| Dilli Tak https://t.co/DchmZjSvl7,neutral
2220,RT @DilliAajtaktv: एक तरफ जहां कूड़े के ढेर लगे हुए हैं जिसकी वजह से बीमारियां फैल रही है वहीं दूसरी तरफ कुछ लोग कूड़े में आग लगा रहे हैं…,neutral
2221,RT @aajtak: सावन पार्क में एक बिल्डिंग गिर जाने के बाद कई लोग मलबे के नीचे दब गए. अभी तक 9 लोगों को अस्पताल में भर्ती कराया गया है जिनमे से…,neutral
2222,भारत नगर में गिरी चार मंजिला ईमारत | Breaking News https://t.co/k9Al0GJ3f7,neutral
2223,"RT @DilliAajtaktv: इस वक्त यमुना नदी खतरे के निशान से 70 सेंटीमीटर ऊपर बह रही है, हमारे संवाददाता चिराग दे रहे हैं हालात की पूरी जानकारी!
#…",neutral
2224,"RT @DilliAajtaktv: दिल्ली में कूड़े ने तोड़ा बेटी का रिश्ता... देखिए @AajGothi की रिपोर्ट 
अन्य #ReporterDiary के लिए क्लिक करें: https://t…",neutral
2225,"RT @aajtak: लगातार बारिश की वजह से यमुना का जल स्तर खतरे के निशान को पार. देखिए हमारे आजतक संवाददाताओं की ग्राउंड रिपोर्ट.
#ReporterDiary @…",neutral
2226,RT @DilliAajtaktv: पिछले 3 दिनों से दिल्ली-एनसीआर में रुक-रुक कर बारिश हो रही है इसकी वजह से मौसम खुशनुमा हो गया है लेकिन इससे परेशानियां…,neutral
2227,RT @DilliAajtaktv: दिल्ली एनसीआर में आज सुबह से कई जगहों पर बारिश हो रही है. अगर पिछले 2 दिनों की मौसम की बात करें तो मौसम सुहाना बना हुआ…,neutral
2228,"RT @waseemabbasi04: दिल्ली की सड़कों पर फैले कूड़े में यमराज को बिठाने का जिम्मेदार कौन ? देखिए सिर्फ @DilliAajtaktv पर 
@ShamsTahirKhan @f…",neutral
2229,RT @DilliAajtaktv: एमसीडी के कर्मचारियों की हड़ताल की वजह से जगह-जगह कूड़े के ढेर लग गए हैं. देखिए दिल्ली के शास्त्री पार्क इलाके में क्या…,neutral
2230,"RT @filmashish: आखिर क्यों दिल्ली का एक अस्पताल बन गया है मासूम बच्चों की कब्रगाह...
देखिए सिर्फ @DilliAajtaktv पर 
@ShamsTahirKhan @catchs…",neutral
2231,RT @aajtak: दिल्ली पुलिस की स्पेशल सेल ने एक चाइना के बिजनेसमैन को जासूसी के संदेह पर गिरफ्तार किया है। आरोपी की पहचान चार्ली पेंग के रूप…,neutral
2232,RT @DilliAajtaktv: नोएडा के सेक्टर 1 में पंजाब नेशनल बैंक के दो गार्डों की हत्या कर दी गयी जब वे देर रात बैंक के बाहर तैनात थे. सूचना मिलते…,neutral
2233,"RT @aajtak: दिल्ली: अस्पताल में भर्ती बच्ची के साथ सफाईकर्मी ने किया बलात्कार
@AajGothi 
https://t.co/AiweYQ5mwm",neutral
2234,RT @AajGothi: नोएडा में PNB के 2 गार्डों की हत्या...#LIVE https://t.co/dRhK7UMNdh,neutral
2235,नोएडा में PNB के 2 गार्डों की हत्या...#LIVE https://t.co/dRhK7UMNdh,neutral
2236,RT @AajGothi: नोएडा में बैंक लुटेरों ने दो गार्ड्स की हत्या| Chirag Live|CrimeTAK https://t.co/v9IrpVDxgi,neutral
2237,नोएडा में बैंक लुटेरों ने दो गार्ड्स की हत्या| Chirag Live|CrimeTAK https://t.co/v9IrpVDxgi,neutral
2238,पेट्रोल की कीमतों में बढ़ोतरी ज़ारी https://t.co/wmZ35nR2fU,neutral
2239,RT @DilliAajtaktv: दिल्ली में पेट्रोल के दाम लगातार बढ़ रहे हैं. इस वक्त पेट्रोल की कीमत 82.32 रुपये है जोकि कल के मुकाबले 10 पैसे ज्यादा…,neutral
2240,"RT @aajtak: दिल्ली में 12 बच्चों की मौत का जिम्मेदार कौन? (@AajGothi की रिपोर्ट)

https://t.co/gPW3GwUy3p",neutral
2241,RT @DilliAajtaktv: दिल्ली के एमसीडी के अस्पताल में  6 से 19 सितंबर के बीच 12 से ज्यादा बच्चों की मौत हो गयी है. ये मौतें महर्षि वाल्मीकि सं…,neutral
2242,RT @aajtak: कोरेगांव हिंसा मामले के आरोपियों को राहत मिलेगी या नहीं यह सोमवार को तय होगा. देखिए मामले में नज़रबंद आरोपी गौतम नौलखा के घर के…,neutral
2243,उस मासूम की क्या गलती थी...| Dilli Tak https://t.co/POXzSntcc6,neutral
2244,"RT @aajtak: 'हम महाराष्ट्र पुलिस के सारे सबूतों को बाज की नजर से देखेंगे. हम ये समझ रहे हैं कि आप उनका विरोध दिखा रहे हैं, लेकिन इसके लिए आ…",neutral
2245,"RT @aajtak: भीमा-कोरेगांव हिंसा मामले में गुरुवार को भी सुप्रीम कोर्ट में जारी रहेगी सुनवाई
देखिए @AajGothi की #ReporterDiary
अन्य वीडियो:…",neutral
2246,"RT @aajtak: दिल्ली के सीमापुरी में मंदिर प्रसाद लेने गई 7 साल की बच्ची के साथ हैवानियत के मामले में आरोपी सलमान गिरफ्तार
देखिए @AajGothi की…",neutral
2247,मनोज तिवारी जाएंगे जेल? https://t.co/aGgVNp4ODN,neutral
2248,गोकुलपुरी पहुंचे मनोज तिवारी https://t.co/ctw7wA2FlL,neutral
2249,Sealing पर जारी हाईबोल्टेज ड्रामा https://t.co/kvbgcRGL7N,neutral
2250,"RT @aajtak: दिल्ली के सीमापुरी में 7 साल की बच्ची के साथ हैवानियत, आरोपी गिरफ्तार
देखिए @AajGothi की #ReporterDiary
अन्य वीडियो: https://t.…",neutral
2251,RT @aajtak: एक तरफ जहां दिल्ली पुलिस ने मनोज तिवारी के खिलाफ मामला दर्ज कर लिया है वहीं दूसरी ओर दिल्ली के गोकुलपुर गांव में जहां पर मनोज…,neutral
2252,RT @DilliAajtaktv: दिल्ली में पेट्रोल की कीमतें लगातार बढ़ रही है कल के मुकाबले आज पेट्रोल 10 पैसे महंगा हो गया है इस वक्त पेट्रोल की कीमत…,neutral
2253,RT @aajtak: राजधानी दिल्ली के कृष्णा नगर इलाके में 8 साल की बच्ची के साथ पड़ोस में रहने वाले 36 साल के अधेड़ ने किया दुष्कर्म. बच्ची को लाल…,neutral
2254,"RT @itsparvezsagar: चोरी के शक में महिला को पीटा, कपड़े फाड़े, अर्धनग्न हालत में घुमाया 
https://t.co/7WEpWmWho0
-
@Aajtak @JurmAajtak #Del…",neutral
2255,RT @aajtak: कानून के शिकंजे में आया आशु महाराज उर्फ आसिफ खान. शाहदरा के AATS के पुलिसकर्मियों ने आशु महाराज को गाजियाबाद से धर दबोचा है और…,neutral
2256,RT @aajtak: पूर्वी दिल्ली के मयूर विहार फेस 3 इलाके के स्मृति वन पार्क के पास 10 साल की मासूम  के साथ रेप. रेप के बाद लड़की के चेहरे पर आरो…,neutral
2257,"RT @itsparvezsagar: यौन उत्पीड़न के मामले में फंसा आशु गुरुजी हिरासत में 
https://t.co/VI5xeuzkxO
-
@Aajtak @JurmAajtak @DelhiPolice #Shaha…",neutral
2258,RT @aajtak: 'आजतक' ने खोज निकाला बाबा आशु का घर.. दिल्ली के कोहाट एंक्लेव में आशु अपने परिवार के साथ रहता है जहां क्राइम ब्रांच की टीम आज…,neutral
2259,आसिफ़ खान कैसे बना आशु भाई गुरूजी? देखिए वारदात https://t.co/EjBjEOYZej,neutral
2260,RT @aajtak: पेट्रोल-डीजल की कीमतों में लगातार वृद्धि से आम लोग परेशान. नई दिल्ली इलाके में एक पेट्रोल पंप पर मौजूद लोगों से आजतक संवाददाता…,neutral
2261,आज मेरे यार शादी है।।।।।।। यार की शादी है ।।।। ।।वाहिद बेग बहुत बधाई,neutral
2262,"RT @aajtak: गुरुग्राम में मस्जिद में लाउडस्पीकर बजाने का हिंदू संगठन के लोगों ने  किया विरोध 
(@AajGothi)
https://t.co/YKITT8iTSY",neutral
2263,"RT @aajtak: आजतक पहुंचा गुरुग्राम की उसी मस्जिद पर जहां पर अज़ान के दौरान विवाद हुआ था यहां नमाज अदा की गई है शांतिपूर्ण तरीके से. 
मस्जिद…",neutral
2264,"RT @itsparvezsagar: खुले में पेशाब करने को लेकर विवाद, बीच बचाव कराने आए शख्स का मर्डर https://t.co/KbfWC2ZLSh 
-
@Aajtak @JurmAajtak @Delh…",neutral
2265,"RT @itsparvezsagar: दिल्ली शूटआउटः मुठभेड़ के दौरान 1 बदमाश लगी गोली, 2 गिरफ्तार
https://t.co/bj8GTlldE7
-
@Aajtak @JurmAajtak @DelhiPolice…",neutral
2266,"RT @itsparvezsagar: मां को पीटकर घर से निकला था युवक, गोली मारकर हत्या 
https://t.co/37py3NZdMW    
-
@Aajtak @JurmAajtak @DelhiPolice #Meh…",neutral
2267,"RT @aajtak: पुलिस ने अलीपुर की सड़क पर टिल्लु गैंग के बदमाशों को मुठभेड़ के बाद पकड़ा
@AajGothi 
https://t.co/lpe7PGP0ws",neutral
2268,RT @DilliAajtaktv: दिल्ली के जामिया नगर इलाके में दिलशाद नाम के शख्स की हत्या के आरोप में पुलिस ने किया 2 लोगों को किया गिरफ्तार। इस पर और…,neutral
2269,RT @DilliAajtaktv: दिल्ली के संगम विहार इलाके में एक शख्स ने अपनी पत्नी और दो बच्चों पर हमला कर दिया उसकी एक बेटी कविता की मौत हो गई जबकि…,neutral
2270,दिल्ली के दिलशाद गार्डन में हुए दोहरे हत्याकांड की गुत्थी को पुलिस ने सुलझाया https://t.co/o8fzHJmgCD,neutral
2271,पच्चीस हज़ार की इतनी कीमत? | Dilli Tak https://t.co/DJbL5etoWP,neutral
2272,RT @aajtak: दिल्ली-एनसीआर में पूरी रात की बारिश ने कई इलाकों का बुरा हाल कर दिया. इस वक़्त हम दिल्ली के गीता कॉलोनी इलाके में मौजूद हैं ज…,neutral
2273,"RT @aajtak: गुरुकुल में 5 छात्रों के यौन शोषण से खलबली
@AajGothi 
https://t.co/NUXQOWQc1g",neutral
2274,"RT @aajtak: दिल्ली के मंडावली इलाके में एक लड़की ने खुदकुशी कर ली. लड़की काफी पतली थी, इस वजह से उसे काम्प्लेक्स होता था और लोग भी उसे परे…",neutral
2275,"RT @aajtak: दिल्ली-NCR में मौसम हुआ सुहाना, उमस और गर्मी से लोगों को मिली राहत. देखिए @AajGothi की ये #ReporterDiary
अन्य वीडियो देखने के…",neutral
2276,"RT @aajtak: आशीष खेतान के आम आदमी पार्टी छोड़ने पर आजतक संवाददाता @AajGothi ने विधायक @KapilMishra_IND से की बात।
#ReporterDiary
अन्य वीडि…",neutral
2277,"RT @CrimeTakBrand: Prakash nagar में वीडियो कॉल करते वक्त लड़की ने की खुदकुशी @AajGothi Live

https://t.co/HGzyzQAyiu",neutral
2278,RT @aajtak: दिल्ली के लक्ष्मीबाई में कुंदन नाम के एक शख्स ने खुदकुशी कर ली. यह वाक्य रविवार देर रात का है.. कुंदन मंत्री नरेंद्र तोमर के P.…,neutral
2279,"RT @DilliAajtaktv: दिल्ली के दिलशाद गार्डन में हुए दोहरे हत्याकांड की गुत्थी को पुलिस ने सुलझाया #ReporterDiary 
रिपोर्ट: @AajGothi https:/…",neutral
2280,RT @aajtak: पूर्व प्रधानमंत्री अटल बिहारी वाजपायी का शव उनके निवास स्थान पर रखा गया है.. यहां तमाम VVIPS मौजूद हैं... इसके बाद उनके पार्थिव…,neutral
2281,RT @aajtak: तमाम समर्थक बीजेपी कार्यालय पहुंच रहे है। बीजेपी कार्यालय में हमने ऐसे तमाम समर्थकों से बातचीत की। कुछ ऐसे समर्थक हैं जो पेड़ प…,neutral
2282,RT @aajtak: पूर्व प्रधानमंत्री अटल बिहारी वाजपेयी की अंतिम यात्रा में पूरा देश शामिल है।  अंतिम यात्रा की ताज़ा तस्वीरें दिखाते आज तक संवाद…,neutral
2283,RT @aajtak: पूर्व प्रधानमंत्री अटल बिहारी वाजपेयी एम्स में भर्ती हैं और उनकी हालत नाजुक बनी हुई है. उनके कृष्णामेनन मार्ग स्थित आवास से व…,neutral
2284,RT @DilliAajtaktv: एक तरफ जहां 15 अगस्त को लेकर सिक्योरिटी एजेंसीज़ पुख्ता सुरक्षा व्यवस्था सुनिश्चित करने में जुटी है वहीं दूसरी तरफ 15 अग…,neutral
2285,RT @CrimeTakBrand: 15अगस्त | मोदी के भाषण से ठीक पहले  कैसी है लाल किले की आंखों देखी तस्वीर और सुरक्षा का हाल ...सुने हमारे कमांडो रिपोर्ट…,neutral
2286,"RT @aajtak: केजरीवाल-सिसोदिया के अलावा 11 विधायकों के नाम भी इस चार्जशीट में शामिल
https://t.co/CBKK8asvDB",neutral
2287,"RT @aajtak: स्वतंत्रता दिवस से पहले लाल किले के पास सुरक्षा के पुख्ता इंतेज़ाम 
4 जैश आतंकियों के दिल्ली में घुस जाने की ख़बर के बाद सुरक्…",neutral
2288,RT @aajtak: यही वह सुपरबाइक है जो संचित चला रहा था और उसका कुंडली मानेसर पलवल एक्सप्रेसवे पर एक्सीडेंट हुआ था. सुपर बाइक की हालत देखिए इसका…,neutral
2289,RT @DilliAajtaktv: दिल्ली में 15 अगस्त की ड्रेस रिहर्सल चल रही है इसको लेकर तमाम जगह पर ट्रैफिक जाम की स्थिति पैदा हो गई है. हमारे संवाददा…,neutral
2290,"RT @aajtak: आरोपी ने पहले भी बच्ची के साथ जबरदस्ती करने की कोशिश की थी लेकिन वह अपने मकसद में कामयाब नहीं हो पाया था.
(@AajGothi/ @mewatisa…",neutral
2291,RT @aajtak: दिल्ली के सरकारी स्कूल में बच्ची के साथ हुई बलात्कार की घटना को लेकर बच्चों के अभिभावक गुस्से में. बच्चों की छुट्टी करने की मां…,neutral
2292,RT @aajtak: दिल्ली के गोल डाक खाना इलाके के एक सरकारी स्कूल के अंदर बच्ची से बलात्कार. स्कूल में ही काम करने वाले इलेक्ट्रीशियन को पुलिस ने…,neutral
2293,स्कूलों में बच्चों के साथ लगातार क्राइम हो रहा है https://t.co/lpLSaVUlSF,neutral
2294,"RT @DilliAajtaktv: दिल्ली के मोती नगर इलाके में कांवड़ियों का हंगामा, पुलिस ने दर्ज किया मामला. 
आजतक संवाददाता @AajGothi दे रहे हैं मामले…",neutral
2295,RT @aajtak: घटना दिल्ली हरियाणा बॉर्डर के कुंडली इलाके की है. पुलिस को जांच में पता चला है कि हरियाणा के सोनीपत का रहने वाला करण रात 10 बजे…,neutral
2296,"RT @itsparvezsagar: दिल्ली-हरियाणा बॉर्डर पर युवक की हत्या, पुलिस जांच में जुटी 
https://t.co/CXH1wNPEjy
-    
@Aajtak @JurmAajtak @DelhiPo…",neutral
2297,"RT @CrimeTakBrand: आख़िर कब तक चाईनीज़ मांझे यूं ही दिल्ली में लोगों की जान लेते रहेंगे... Chirag Gothi Live
@AajGothi 
https://t.co/YCFq6F…",neutral
2298,चाईनीज़ मांझे कब तक यूं ही लोगों की जान लेते रहेंगे... चिराग गोठी के साथ Chirag Gothi Live https://t.co/RTFMK9YcCr,neutral
2299,RT @aajtak: दिल्ली-एनसीआर में चाइनीज मांझे का कहर. स्कूटी से घर जा रहे स्पर्श के गले में अटका मांझा फिर देखिए उनकी क्या हालत हुई. @aajgothi…,neutral
2300,"RT @itsparvezsagar: फाइव स्टार होटल के बाहर की पत्नी की पिटाई, बाल पकड़कर घसीटा 
https://t.co/D8TP7JDGro
-
@Aajtak @JurmAajtak @DelhiPolice…",neutral
2301,"RT @waseemabbasi04: मासूमों के लिए कैसे हर कदम पर बढ़ रहा है खतरा.... मां-बाप के लिए सबसे जरूरी शो 
@DilliAajtaktv @catchsanjeevc @filmashi…",neutral
2302,"RT @aajtak: दिल्ली के एक डीसीपी ने अनोखी पहल की है जिसे काफी सराहा जा रहा है
(रिपोर्ट: @AajGothi)
https://t.co/Mmz0lfUVQ9",neutral
2303,RT @DilliAajtaktv: दिल्ली के यमुना विहार इलाके के पास उस वक़्त हड़कंप मच गया जब सुबह 7:00 बजे के आसपास प्राइवेट कैब जल गई. कैब मे उस वक़्त…,neutral
2304,RT @aajtak: पुलिस के मुताबिक रईस ने ही इस हत्याकांड को अंजाम दिया था. उसने नीता की गला दबाकर हत्या करने के बाद उसके पैरों को बांधकर उसके शव…,neutral
2305,"RT @CrimeTakBrand: जाने क्या है मौत से पहले अनीशिया की कहानी सिर्फ चिराग गोठी के साथ
@ShamsTahirKhan @aajtak 
https://t.co/St750ePWyU",neutral
2306,RT @AajGothi: देखें मौत से पहले अनीशिया की कहानी Chirag Gothi Live https://t.co/soA5rRdWTT,neutral
2307,देखें मौत से पहले अनीशिया की कहानी Chirag Gothi Live https://t.co/soA5rRdWTT,neutral
2308,"RT @aajtak: पुलिस को आशंका है कि हत्या के बाद कातिल ने लाश को अलमारी छुपाया होगा. देखने से लाश दो तीन दिन पुरानी लग रही है.
( @AajGothi )
h…",neutral
2309,"RT @itsparvezsagar: दिल्लीः घर में रखी अलमारी से मिली महिला की लाश, हत्या की आशंका
https://t.co/tyOsbe0FsX
-
@Aajtak @JurmAajtak @DelhiPoli…",neutral
2310,RT @aajtak: दिल्ली के गोकुलपुरी इलाके में घर की अलमारी से एक लड़की की मिली लाश. पुलिस मामले की तफ्तीश में जुटी. देखिये @AajGothi की रिपोर्ट…,neutral
2311,"RT @aajtak: इस खूनी हमले में 11वीं कक्षा का छात्र बुरी तरह से घायल हो गया. 
(@AajGothi )
https://t.co/aLMyKI9hqK",neutral
2312,"RT @itsparvezsagar: दिल्लीः स्कूल में छात्र ने क्लासमेट को चाकू से गोदा, गिरफ्तार 
https://t.co/HZXwRjekJs    
-
@Aajtak @JurmAajtak @Delhi…",neutral
2313,RT @DilliAajtaktv: दिल्ली के कृष्णा नगर के सरकारी स्कूल में छात्र ने दूसरे छात्र को मारा चाकू।  छात्र को गंभीर हालत में अस्पताल में भर्ती क…,neutral
2314,RT @DilliAajtaktv: गुरुग्राम में DPS स्कूल की बस ने पति पत्नी को कुचला. दर्दनाक सड़क हादसे में दोनों की  मौत. (@aajgothi की रिपोर्ट) #Repor…,neutral
2315,"RT @aajtak: गुरुग्राम में डीपीएस स्कूल की बस ने पति-पत्नी को कुचला, दर्दनाक हादसे में दोनों की मौत
 अन्य वीडियो के लिए क्लिक करें https://t…",neutral
2316,RT @waseemabbasi04: क्या आप भी किकी चैलेंज को कबूल करके उसका वीडियो इंटरनेट पर डाल रहे हैं... तो सावधान हो जाइये ..... क्योंकि ये चैलेंज जे…,neutral
2317,"RT @aajtak: दिल्ली में महिला आयोग की टीम ने पुलिस के साथ मिलकर पहाड़गंज इलाके के एक होटल से 39 नेपाली लड़कियों को रेस्क्यू कराया
@AajGothi…",neutral
2318,RT @aajtak: दिल्ली के पहाड़गंज के होटल से 39 लड़कियां बरामद हुई हैं. ये सभी नेपाल की रहने वाली हैं. पुलिस का कहना है कि वह जांच कर रही है…,neutral
2319,RT @DilliAajtaktv: पिछले काफी दिनों से लगातार यमुना का जलस्तर बढ़ रहा था. मंगलवार देर रात से ये घटना शुरू हो गया है. इस वक़्त यमुना का जलस्…,neutral
2320,"RT @waseemabbasi04: जिस राजधानी में बचाने के लिए 12 डिपार्टमेंट हों वहां ज़िंदगी डूब रही है... देखिए सिर्फ @DilliAajtaktv पर 
@ShamsTahirKh…",neutral
2321,RT @aajtak: इंसान तो इंसान जानवर भी दिल्ली में बाढ़ के खतरे से परेशान हैं. बाढ़ के खतरे को ध्यान में रखते हुए गौशाला को शिफ्ट कर दिया गया…,neutral
